tweet_id,airline_sentiment,text,airline
570051381534396416,positive,@VirginAmerica Moodlighting is the only way to fly! Best experience EVER! Cool and calming. 💜✈ #MoodlitMonday,Virgin America
570045393565691904,positive,"@VirginAmerica @freddieawards Done and done! Best airline around, hands down!",Virgin America
570035876845084672,negative,@VirginAmerica Your chat support is not working on your site: http://t.co/vhp2GtDWPk,Virgin America
570025482344898560,negative,"@VirginAmerica Hey, first time flyer next week - excited! But I'm having a hard time getting my flights added to my Elevate account. Help?",Virgin America
570016304284901379,neutral,@VirginAmerica plz help me win my bid upgrade for my flight 2/27 LAX---&gt;SEA!!!  🍷👍💺✈️,Virgin America
570012257549070337,positive,@VirginAmerica I'm #elevategold for a good reason: you rock!!,Virgin America
570011341483843584,neutral,@VirginAmerica  DREAM http://t.co/oA2dRfAoQ2 http://t.co/lWWdAc2kHx,Virgin America
570010571707256832,positive,@VirginAmerica wow this just blew my mind,Virgin America
570010539499393025,neutral,@VirginAmerica @ladygaga @carrieunderwood After last night #tribute #SoundOfMusic #Oscars2015 @ladygaga! I think @carrieunderwood agree,Virgin America
570009713447825408,neutral,@VirginAmerica @ladygaga @carrieunderwood All were entertaining,Virgin America
570006886012973056,positive,@VirginAmerica @ladygaga @carrieunderwood Julie Andrews all the way though @ladygaga was very impressive! NO to @Carrieunderwood,Virgin America
570004391731847169,neutral,@VirginAmerica wish you flew out of Atlanta... Soon?,Virgin America
569996412286582784,negative,@VirginAmerica hi! i'm so excited about your $99 LGA-&gt;DAL deal- but i've been trying 2 book since last week &amp; the page never loads. thx!,Virgin America
569987622484848640,neutral,"@VirginAmerica @ladygaga @carrieunderwood all are great , but I have to go with #CarrieUnderwood 😍👌",Virgin America
569986348041547778,positive,@VirginAmerica @ladygaga @carrieunderwood  love all three but you really can't beat the classics!,Virgin America
569972508499283968,positive,@VirginAmerica Congrats on winning the @Travelzoo award for Best Deals from an Airline (US) http://t.co/kj1iljaebV,Virgin America
569967019958730753,negative,@VirginAmerica everything was fine until you lost my bag,Virgin America
569946362126602240,negative,@VirginAmerica your airline is awesome but your lax loft needs to step up its game. $40 for dirty tables and floors? http://t.co/hy0VrfhjHt,Virgin America
569942903683813376,positive,"@VirginAmerica not worried, it's been a great ride in a new plane with great crew. All airlines should be like this.",Virgin America
569940834994401280,neutral,"@VirginAmerica Or watch some of the best student films in the country at 35,000 feet! #CMFat35000feet http://t.co/KEK5pDMGiF",Virgin America
569940323746516993,neutral,@VirginAmerica first time flying you all. do you have a different rate/policy for media Bags? Thanks,Virgin America
569935232033366017,negative,@VirginAmerica what is going on with customer service? Is there anyway to speak to a human asap? Thank you.,Virgin America
569933816963342337,negative,@VirginAmerica why can't you supp the biz traveler like @SouthwestAir  and have customer service like @JetBlue #neverflyvirginforbusiness,Virgin America
569933405506310144,negative,@VirginAmerica you're the best!! Whenever I (begrudgingly) use any other airline I'm delayed and Late Flight :(,Virgin America
569933360564342784,negative,@VirginAmerica I have no interesting flying with you after this. I will Cancelled Flight my next four flights I planned.#neverflyvirginforbusiness,Virgin America
569929243146088448,negative,@VirginAmerica it was a disappointing experience which will be shared with every business traveler I meet. #neverflyvirgin,Virgin America
569926998824394752,negative,@VirginAmerica I’m having trouble adding this flight my wife booked to my Elevate account. Help? http://t.co/pX8hQOKS3R,Virgin America
569923394990419968,neutral,@VirginAmerica Can't bring up my reservation online using Flight Booking Problems code,Virgin America
569922008588222465,neutral,@VirginAmerica Random Q: what's the distribution of elevate avatars? I bet that kitty has a disproportionate share http://t.co/APtZpuROp4,Virgin America
569911816937033728,negative,@VirginAmerica I like the TV and interesting video . Just disappointed in Cancelled Flightled flight when other flights went out to jfk on Saturday .,Virgin America
569911674158731264,negative,"@VirginAmerica just landed in LAX, an hour after I should of been here. Your no Late Flight bag check is not business travel friendly #nomorevirgin",Virgin America
569910981868060673,negative,"@VirginAmerica Is it me, or is your website down?  BTW, your new website isn't a great user experience.  Time for another redesign.",Virgin America
569907336485019648,negative,@VirginAmerica - Let 2 scanned in passengers leave the plane than told someone to remove their bag from 1st class bin? #uncomfortable,Virgin America
569894449620369408,negative,@VirginAmerica is anyone doing anything there today?  Website is useless and no one is answering the phone.,Virgin America
569892199690678272,negative,@VirginAmerica why must a traveler miss a flight to Late Flight check a bag?  I missed my morning appointments and you lost my business. #sfo2lax,Virgin America
569887310713479168,negative,@VirginAmerica your no Late Flight bag check just lost you my business. I missed flight and AM apt. Three other people on flight had same exp.,Virgin America
569887049446076416,positive,"@VirginAmerica - amazing customer  service, again! 💕💕 RaeAnn in SF - she's the best! #customerservice #virginamerica #flying",Virgin America
569881548515708928,neutral,@VirginAmerica I was scheduled for SFO 2 DAL flight 714 today. Changed to 24th due weather. Looks like flight still on?,Virgin America
569873669700358144,positive,"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/tZZJhuIbCH #CheapFlights #FareCompare",Virgin America
569873668131717120,neutral,"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/RPdBpX3wNd #CheapFlights #FareCompare",Virgin America
569873665640292353,positive,"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/B2Xi4YG5T8 #CheapFlights #FareCompare",Virgin America
569873664612704256,neutral,"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/QDlJHslOI5 #CheapFlights #FareCompare",Virgin America
569872058613673984,positive,@VirginAmerica Have a great week 🌞✈,Virgin America
569861209781989377,positive,@VirginAmerica come back to #PHL already. We need you to take us out of this horrible cold. #pleasecomeback http://t.co/gLXFwP6nQH,Virgin America
569847920192655361,negative,"@VirginAmerica should I be concerned that I am about to fly on a plane that needs to be delayed due to a ""tech stop""?",Virgin America
569814339785338880,positive,"@VirginAmerica is the best airline I have flown on.Easy to change your reservation,helpful representatives &amp; a comfortable flying experience",Virgin America
569777607371128834,positive,@VirginAmerica and again! Another rep kicked butt! Naelah represents your team so beautifully!! Thank you!!!,Virgin America
569774078233419776,positive,@VirginAmerica your beautiful front-end design is down right now; but it was cool to still book my ticket b/c all your back-end was secure.,Virgin America
569770363623575552,positive,"@VirginAmerica Love the team running Gate E9 at LAS tonight. Waited for a delayed flight, and they kept things entertaining",Virgin America
569741221783957504,negative,"@VirginAmerica And now the flight Flight Booking Problems site is totally down. Folks, what is the problem?",Virgin America
569737603617943552,negative,@VirginAmerica I like the customer service but a 40 min delay just for connecting passengers seems too long. VA370,Virgin America
569714127792254976,positive,@VirginAmerica thanks to your outstanding NYC-JFK crew who moved mountains to get me home to San Francisco tonight!,Virgin America
569675144353828864,positive,@VirginAmerica you have the absolute best team and customer service ever.  Every time I fly with you I'm delighted.  Thank you!,Virgin America
569652497947734017,positive,@VirginAmerica completely awesome experience last month BOS-LAS nonstop. Thanks for such an awesome flight and depart time. #VAbeatsJblue,Virgin America
569643262459269120,neutral,@VirginAmerica is flight 882 Cancelled Flightled and what do I do if it is?,Virgin America
569642845516275712,negative,@VirginAmerica you are failing your customers because your check in process does not link to TSA pre-check.,Virgin America
569634318349246464,negative,@VirginAmerica @FiDiFamilies us too! Terrible airline! Just gave us a hotel hotline number and said sorry,Virgin America
569633279546036224,negative,@VirginAmerica @ChrysiChrysic your assistance yesterday when u Cancelled Flightled our flight was to give us a hotel hotline  Shame on you!,Virgin America
569630092273410048,negative,@VirginAmerica Another delayed flight? #likingyoulessandless,Virgin America
569616490380439552,positive,@VirginAmerica best customer service rep in the world! #irmafromDallas takes the cake!!!,Virgin America
569615109363929088,neutral,@VirginAmerica Can you find us a flt out of LAX that is sooner than midnight on Monday? That would be great customer service 😃,Virgin America
569614365755899905,negative,@VirginAmerica please provide status for flight 769.  I cant imagine it's on time as the Web indicates  dude to weather here and/or Dallas,Virgin America
569614024578600960,positive,@VirginAmerica you have amazing staff &amp; super helpful as I just ran the @WaltDisneyWorld #PrincessHalf they have spoiled me with comfort!!!,Virgin America
569609971383586817,negative,"@VirginAmerica I paid the premium to fly you across the country, you Cancelled Flight my flight and offer no check fee or upgrade love? Sad face :(",Virgin America
569608328998887424,negative,@VirginAmerica question: is it not possible to book a seat for an infant under 2? It's not giving me the option but we want a seat for him.,Virgin America
569594386066984960,negative,.@VirginAmerica does that mean you don't have a policy for destroyed luggage?,Virgin America
569586660909973504,neutral,@VirginAmerica is there special assistance if I travel alone w/2 kids and 1 infant? Priority boarding?,Virgin America
569580805036453888,positive,@VirginAmerica thank you for checking in. tickets are purchased and customer is happy ;-),Virgin America
569575003248676864,neutral,"@VirginAmerica  - Is Flight 713 from Love Field to SFO definitely Cancelled Flightled for Monday, February 23?",Virgin America
569572942381649920,negative,@VirginAmerica having problems Flight Booking Problems on the web site. keeps giving me an error and to contact by phone.  phone is 30 minute wait.,Virgin America
569572740723712001,negative,@VirginAmerica How do I reschedule my Cancelled Flightled flights online? The change button is greyed out!,Virgin America
569564610837086209,negative,"@VirginAmerica our flight into lga was Cancelled Flighted. We're stuck in Dallas. I called to reschedule, told I could get a flight for today...(1/2)",Virgin America
569540405676654592,negative,@VirginAmerica - Your site seems a little wonked right now. May want to have a look. Tried on two browsers. No CSS? http://t.co/8qsQMM7KF2,Virgin America
569494748341407744,negative,@VirginAmerica I'm disappointed that the agent at the designated silver status check in line @Dulles_Airport closed to assist all pasengers,Virgin America
569477692166316033,negative,@VirginAmerica Is it normal to receive no reply from Central Baggage #baggageissues #smh,Virgin America
569369239183872000,negative,"@VirginAmerica congrats, you just got all my business from EWR to SFO/LAX. Fuck you @united fl1289 SFO/EWR was the clincher...",Virgin America
569356387785900032,neutral,@VirginAmerica I'd love to know what your policy is for damaged luggage.,Virgin America
569354267854704641,positive,@VirginAmerica Thank you for the follow,Virgin America
569351220097216512,negative,@VirginAmerica - too many apologies! You r the worse airlines! Don't even respond to your cudtomers,Virgin America
569348775631675392,negative,@VirginAmerica shame on VA for making people spend money in stranded cities when other airlines are landing at JFK! Who will reimburse me?,Virgin America
569323106210152448,neutral,@VirginAmerica can you please have flights in  SJC ? I have no choice but to fly Southwest to Vegas 😩😭,Virgin America
569323082701275138,negative,@VirginAmerica too bad you say it takes 10 to 14 days via YOUR confirmation email. When I inquired after 3 weeks you claim 6 to 8 weeks!,Virgin America
569318651502989312,negative,@VirginAmerica Flight from BOS &gt; LAS tomorrow was Cancelled Flightled. No notification; wait times are 1+ hour. Will you rebook on another airline?,Virgin America
569311060903268352,negative,"@VirginAmerica a lot of ""apologies"" being thrown out to customers from what I can see.Very sad. Thanks for nothing. Worst airline ever.",Virgin America
569310635986546688,negative,@VirginAmerica  for all my flight stuff wrong and did nothing about it. Had #worst #flight ever,Virgin America
569305113589714944,neutral,@VirginAmerica Having an issue finding a missing item on a plane. Can you help me find which airport my plane headed to next?,Virgin America
569282249717194754,negative,@VirginAmerica Because we never rec'd Cancelled Flightlation notice we were left w no options to fly out of PS. Driving to LA for a red eye Mon w kids,Virgin America
569277352129138688,negative,@VirginAmerica You have any flights flying into Boston tomorrow? I need to be home and you Cancelled Flightled my flight and didn't do anything,Virgin America
569263837448269826,negative,@VirginAmerica you stink. Flight Cancelled Flighted from PSP to JFK and no notification or ability to rebook #disappointed.  #expected better,Virgin America
569262527281913857,positive,@VirginAmerica I love your guy's song! We're dancing to it for our high school dance revue,Virgin America
569261347688607744,positive,"@VirginAmerica done! Thank you for the quick response, apparently faster than sitting on hold ;)",Virgin America
569261128532041728,neutral,@VirginAmerica nervous about my flight from DC to LAX getting Cancelled Flightled tomorrow! Just sent you a DM to help me!,Virgin America
569260526976544768,positive,@VirginAmerica cool picture of another VirginAmerica plane off our wing. What a site! http://t.co/5B2agFd8c4,Virgin America
569253311813185537,positive,@VirginAmerica Keep up the great work :),Virgin America
569253236093267969,positive,@VirginAmerica my goodness your people @love field are amazing under pressure ❤️from Texas #beatstheothers in crisis Please fly me to NY,Virgin America
569250469178175488,positive,@VirginAmerica Thanks for a great flight from LA to Boston! Pilots did a great job landing in the snow. Can we go back to LA now? #seriously,Virgin America
569248437050302464,neutral,@VirginAmerica can you please get me to the new york area before monday afternoon,Virgin America
569248400836726786,positive,"@VirginAmerica Thanks so much for the awesome support, you guys rock!",Virgin America
569247394002563072,negative,@VirginAmerica flight 404 delayed 2 hours in LA due to mechanical problems. Handle like pros but you could have tossed us a free drink.,Virgin America
569244860286263297,negative,@VirginAmerica why Cancelled Flight flights today? No precipitation to be scared of!  ❄️❄️❄️,Virgin America
569240250192670720,positive,@VirginAmerica twitter team. you guys killed it for rescheduling me asap. thank you!,Virgin America
569238877178716161,negative,@VirginAmerica You guys charged me $100 to reschedule a flight that was then Cancelled Flighted and are now refusing to refund it. What's the deal?,Virgin America
569229785500680192,negative,"@VirginAmerica why Cancelled Flight flight VX413? One sec its delayed, on my to airport, the next its Cancelled Flightled?Gonna email or call me to reschedule?",Virgin America
569226875349835776,negative,@VirginAmerica I did it but there was a problem in the link from the email for check-in. thanks,Virgin America
569223788639821824,negative,@VirginAmerica I was so looking forward to my first flight with you today but it was Cancelled Flightled along with the subsequent one ...,Virgin America
569222494952886272,positive,@VirginAmerica when are you putting some great deals from PDX to LAS or from LAS to PDX show me your love! http://t.co/enIQg0buzj,Virgin America
569221440794271745,positive,@VirginAmerica wish I can afford to fly with you next Friday  going back home.. love everything  about your airline,Virgin America
569221156504530944,negative,@VirginAmerica  how are you gonna have a deal from Dallas to DC but no deal from DC to Dallas? #sad,Virgin America
569212570478911489,positive,@VirginAmerica Like http://t.co/VPqEm31XUQ,Virgin America
569209566715469824,positive,@VirginAmerica You have the best flight attendant ever!!! http://t.co/PxdEL1nq3l,Virgin America
569205125278859265,positive,@VirginAmerica thanks so much!,Virgin America
569200606595952640,negative,@VirginAmerica What is the reason  for the delay of the departure of VX 413 from JFK this afternoon?,Virgin America
569198782421663745,negative,"@VirginAmerica is todays flight from Palm Springs, Ca to JFK in NY Cancelled Flightled?",Virgin America
569198104806699008,positive,@VirginAmerica hahaha 😂@VirginAmerica YOU GUYS ARE AMAZING. I LOVE YOU GUYS!!!💗,Virgin America
569197967959154688,positive,@VirginAmerica sounds like fun !,Virgin America
569192778468626432,negative,"@VirginAmerica the CSS on your site is a 404 right now, please fix. Site unusable.",Virgin America
569179517522046977,negative,"@VirginAmerica Hi, I'm trying to do check-in but the website is not working. I tried 3 different browsers and the problem continues",Virgin America
569176777056079874,positive,@VirginAmerica Thanks for your great customer service today &amp; for helping me get all my travel sorted out!,Virgin America
569165709516759042,positive,@VirginAmerica thanks guys! Sweet route over the Rockies #airplanemodewason,Virgin America
569110766235877376,positive,@VirginAmerica love the 90s music blasting at gate in #Boston while waiting for flight to #SanFrancisco. Only if I could get an iced coffee!,Virgin America
569083230361673728,negative,"@VirginAmerica - the passenger in 7D, Flt 338 that assaulted me shouldn't have flown. I trust he's banned. Crew filed report to @FAANews",Virgin America
569020707113476096,positive,"@VirginAmerica thank you for the easy itinerary shift for impending weather. Quick, painless &amp; free.",Virgin America
569018352464588800,neutral,"@VirginAmerica If you'd love to see more girls be inspired to become pilots, RT our free WOAW event March 2-8 at ABQ. http://t.co/rfXlV1kGDh",Virgin America
569011849976348672,positive,@VirginAmerica Thanks! Good times there and back! #Vodkatonics the entire flight🍸#sfo,Virgin America
568989005162766337,neutral,"@VirginAmerica beats expectations, shares take off - Santa Cruz Sentinel http://t.co/qm9dQbai6G",Virgin America
568977175149293570,neutral,@VirginAmerica BIG Love/gratitude.mpower w/ http://t.co/1AGR9knCpf weRin #OSCARS2105 VIPswagbags@ #AvalonHollywood http://t.co/ybMbGs0dHn,Virgin America
568972394297077760,positive,"@VirginAmerica, you're doing a great job adding little luxuries/aesthetics that improve the air travel experience. Thank you. Keep it up!",Virgin America
568945958970531840,negative,@VirginAmerica requested window seat and confirmed window but got stuck in middle seat. Not a good way to treat silver member😒,Virgin America
568945265899483136,neutral,@VirginAmerica Grand Budapest Hotel #OscarsCountdown,Virgin America
568943244027006976,neutral,@VirginAmerica This is what you missed @NewsVP. Next trip to the 407.,Virgin America
568942331921092608,negative,@VirginAmerica #wtf I paid for direct flight on purpose not to have to stop for fuel exhausted frequent flier and nothing for inconvenience!,Virgin America
568940002849255425,negative,@VirginAmerica there is something wrong with you website in Safari iPhone,Virgin America
568929979981033472,positive,@VirginAmerica thanks for gate checking my baggage on your full flight dfw-lax 883 and giving me early boarding too #sweet,Virgin America
568928741298012160,negative,@VirginAmerica Boo for a not refunding a seat upgrade fee I did not want to buy in the first place!,Virgin America
568928605226426370,neutral,@VirginAmerica shares rise on Q4 financial results - USA TODAY http://t.co/lFS4PEFE6y,Virgin America
568920614716600320,neutral,@VirginAmerica way to take advantage of #MayweatherPacquiao :),Virgin America
568920221882257408,neutral,@VirginAmerica you know I'm flying virgin for the fight #MayweatherPacquiao,Virgin America
568910590921609216,positive,@VirginAmerica cutest salt and pepper shaker ever. Just when I think you guys can't get any better you just do! http://t.co/vC6Keulg2J,Virgin America
568901823215448064,negative,"@VirginAmerica moved my seat with no notice. ""Better seat"" is cabin select not behind the row I selected👎 #DISAPPOINTED",Virgin America
568898405189038080,neutral,@VirginAmerica shares up on 4Q results - @iol http://t.co/XZ6qeG3nef,Virgin America
568882014415249408,negative,@VirginAmerica already contacted Central Baggage &amp; sent DM. @RenttheRunway is charging me for the dress that was in the lost suitcase #help,Virgin America
568874645564362752,positive,@VirginAmerica Thank you!!,Virgin America
568868127364096000,negative,@VirginAmerica Is there anything going on with the website? I've been getting a lot of errors past 30 minutes.,Virgin America
568853685855334400,negative,@VirginAmerica @VirginAtlantic I have just checked in flight to SFO from LAX &amp; been told as Atlantic Flying Club Gold I get no benefits?!,Virgin America
568850943359496192,negative,@VirginAmerica soooo are you guys going to leave the seatbelt light on all flight? You can barely call this turbulence :-),Virgin America
568840724700995584,negative,"@VirginAmerica Funny story, your website is broken, you have missing javascript and stylesheets on the checkin process. I dislike this!",Virgin America
568840560347373569,positive,@VirginAmerica would love to do more for virgin just like I do for @GoPro,Virgin America
568833739192557569,neutral,@VirginAmerica achieves a second year of profitability despite revenue pressure ... - @CAPA_Aviation http://t.co/zSuZTNAIJq,Virgin America
568830466830151680,neutral,"@VirginAmerica gives positive outlook, but sees increased competition - @Reuters http://t.co/jEu7Od3eYJ",Virgin America
568815689684815873,positive,@VirginAmerica loved it. Can't wait for Monday's return flight... Mostly just to watch the inflight safety video again. #sorrynotsorry,Virgin America
568812046747201537,negative,"@VirginAmerica lost my luggage 4 days ago on flight VX 112 from LAX to IAD &amp; I'm calling every day, no response.Please give me back my stuff",Virgin America
568811384437411840,negative,@VirginAmerica The Flight Booking Problems section of your website seems to be broken on Chrome. Might wanna look into that.,Virgin America
568805696780824576,positive,@VirginAmerica Hi! Just wanted to see if you have any new routes planned this year for Newark. Love flying you guys and hope to do so more!,Virgin America
568802396907835393,positive,@VirginAmerica happy to spend the day together. Let's do this!,Virgin America
568795484283736064,neutral,@VirginAmerica missed my flight. How does standby work?,Virgin America
568791035297468416,positive,@VirginAmerica thank you! I absolutely will 😎,Virgin America
568790164404899840,negative,@virginamerica Looks like a broken link for your assets https://t.co/OArDjjGrrD,Virgin America
568775898234798081,negative,@virginamerica the manage itinerary section of your website seems to be broken for me https://t.co/2pUJvCElNg,Virgin America
568769672922812418,negative,"@VirginAmerica can't check in, your site looks like this every time it loads http://t.co/kAcY2AwDbW",Virgin America
568735060104511488,neutral,@VirginAmerica can u help this 👸 @FreyaBevan_Fund needs urgent treatment in🇺🇸2y old battling cancer could u help with flights 💗#freyasfund,Virgin America
568662343170674688,negative,@VirginAmerica WTF is happening in PDX Late Flight March such that one way from SFO is ~$550?,Virgin America
568643040073506816,positive,@VirginAmerica How about some free drinks on the flight back for the free promo?,Virgin America
568630879246901248,neutral,@VirginAmerica please contact me about portfolio left on flight VX 27 from JFK to SFO tonite seat 7AM. Need it returned. Call 914-329-0185.,Virgin America
568608718994026496,negative,"@VirginAmerica my luggage is gone. I've filed my paperwork, promised a call/email. Still no resolution or response from central luggage.",Virgin America
568607562251108352,neutral,@VirginAmerica Debbie Baldwin gave a #rockstar performance of the safety demo this evening on VX919 #LAS2SFO #BestCrew #SheRocks,Virgin America
568604690767872000,positive,@VirginAmerica thanks for taking care of @SuuperG on her flight!! #rockstars #travel,Virgin America
568602941940043776,positive,@VirginAmerica Thanks for the lovely soft views! #travel #SAN to #SFO http://t.co/CnctL7G1ef,Virgin America
568595620002279424,negative,@VirginAmerica I requested a mileage challenge for status several weeks ago online but haven't heard back. How do I get help with this?,Virgin America
568585196699664384,negative,"@VirginAmerica Just trying to book tickets to NYC and facing super fun broken styling. Don't worry, I'll keep trying :)",Virgin America
568579880046227457,neutral,"@VirginAmerica Many Thanks for the Follow.
#ourprincess #freyasfund #USA #Bandie 
Looking for Any Help😍
💗🇬🇧💗🇺🇸💗
🎀🌏🎀 http://t.co/UJfS9Zi6kd",Virgin America
568576829000425472,negative,@VirginAmerica Applied for Status Match on Feb 1. Got confirmation email same day. Still no news though. You guys have dropped ball Late Flightly 😥,Virgin America
568571772251082752,neutral,"@VirginAmerica @VirginAtlantic @GMA @AmericanAir 
Can You Help #ourprincess in need of some help in #USA 
🎀🇬🇧🎀🇺🇸🎀 http://t.co/778AzTDaer",Virgin America
568553610981740544,positive,"@VirginAmerica I adore you, and am so looking forward to my flight to Austin in two weeks.",Virgin America
568543525505089536,positive,@VirginAmerica I was so glad it was mentioned. I took my first virgin flight a few years back and it was a transformative experience.,Virgin America
568541317816561664,neutral,@VirginAmerica Flight Booking Problems flight to uphold my status match.  Do taxes on ticket count as earned status points?  #statusmatch #virginamerica,Virgin America
568536882012749824,negative,@VirginAmerica trying to check-in...but looks like your site is down?,Virgin America
568526847320784896,negative,@VirginAmerica Sent a couple messages to the email you provided but to no avail. Will try again next year. Cheers.,Virgin America
568518985056002049,negative,"@virginamerica not really the experience I was hoping 4, I ws forced 2 check in a small carry on, w/ nothing but empty cabin space on board",Virgin America
568511755040657409,negative,"@VirginAmerica I spoke with a representative that offered no solution, I am a loyal customer who flies on @VirginAtlantic as well",Virgin America
568511474580066304,negative,@VirginAmerica I am deeply disappointed that your birthday promo was not applied to a trip I booked mere days before I received the email,Virgin America
568492682152189952,neutral,@VirginAmerica partners with @Visa Checkout as mobile payment method to help boost mobile conversion rates #etailwest #payments #visa,Virgin America
568491256508231680,positive,"@VirginAmerica just promoting the product is all, had a problem with southwest and recommend noneother than the best! http://t.co/tFaNXBh1Cf",Virgin America
568490223417602050,positive,"@VirginAmerica love you guys, but pls get some direct routes LAS to AUS!",Virgin America
568483591623208961,neutral,@VirginAmerica i would like help with some flights please.,Virgin America
568481985221537792,positive,@VirginAmerica of course! I work for @VirginAtlantic and I'm obsessed with the entire Virgin family!!,Virgin America
568472719102234624,neutral,"@VirginAmerica Done, but I need the receipt ASAP. Could you please help? #150219-000114",Virgin America
568469942711885825,negative,"@VirginAmerica I have 2d and 3d embossed badges and patches superior to the ones you are currently using. 
http://t.co/3fq3XElbOn",Virgin America
568463892453724160,negative,@VirginAmerica on VX399 from JFK to LA - dirty plane - not up to your standards.,Virgin America
568463244035289088,negative,@VirginAmerica on flight VX399 headed to LA from JFK - dirtiest VA plane I have ever been on. Sad for a great airline.,Virgin America
568457140894969856,negative,@VirginAmerica delayed to10.30!!,Virgin America
568452186977361921,positive,“@VirginAmerica: @KarinSLee Of course. Have fun celebrating!” Thanks! Happy Chinese New Year!,Virgin America
568451468560187393,positive,@VirginAmerica  Flight Booking Problems last second flight for next week from SFO- to SAN any chance you want to gift me a promo code since I love you guys,Virgin America
568447216156692480,negative,@VirginAmerica Comenity Bank is a joke!  Please change.  Nothing but constant problems with this bank,Virgin America
568437415603507200,positive,"@VirginAmerica For my Grandma Ella's 80th, she would &lt;3 a bday greeting from your flight crew! She was a stewardess for Eastern Airlines.",Virgin America
568434482270707712,positive,@VirginAmerica Just bought tix for ATX - Dallas route - thanks for adding that! Love yr airline &amp; yr website is BEST transactional site EVER,Virgin America
568429677779365888,positive,@VirginAmerica gave a credit for my Late Flight flight yesterday. Great service !!!! That's a Wow moment! Unexpected gesture!,Virgin America
568406048777900032,positive,@VirginAmerica had me at their safety video . . . http://t.co/CqMm7nuE9m  LOVED my first cross country flight. #livewelltraveled #sytycd,Virgin America
568382154071089154,neutral,@VirginAmerica a brilliant brisk am in Boston in cue for vx363 http://t.co/rMZNIVGmg6,Virgin America
568245360998658048,positive,@VirginAmerica thank you,Virgin America
568240364315783168,negative,@VirginAmerica Can I get some help with a support ticket? It's been 15 days.... Incident: 150202-000419 Thank you!,Virgin America
568239036533497856,positive,@VirginAmerica good to be home #texas #moodlighting http://t.co/N3BVZTY3zI,Virgin America
568204964742496256,positive,"@VirginAmerica thanks for that. Been needing a way to make those Austin trips from DCA, and now you've come through!",Virgin America
568165573869199361,negative,@VirginAmerica Status match - 2 weeks have gone by and no news.Flt next week - hope flt will count towards requirement.  Cust Svc no help!!!,Virgin America
568157680696729600,negative,@VirginAmerica your website sucks donkey dicks. Just thought you should know. All best.,Virgin America
